Id_pracownika,Imie,Nazwisko,Wynagrodzenie,Plec,Dzial,Email,Status
58,Julia,Kwiatkowska,4880,K,Analityk,julia.kwiatkowska.58@ecommerce.com,zatrudniony
59,Barbara,Szymańska,5610,K,Informatyk,barbara.szymanska.59@ecommerce.com,zatrudniony
60,Maciej,Kowalski,9152,M,Kompletacja,maciej.kowalski.60@ecommerce.com,zwolniony
61,Magdalena,Kaczmarek,9726,K,Analityk,magdalena.kaczmarek.61@ecommerce.com,zwolniony
62,Krzysztof,Kaczmarek,7911,M,Kompletacja,krzysztof.kaczmarek.62@ecommerce.com,zatrudniony
63,Katarzyna,Woźniak,5288,K,Informatyk,katarzyna.wozniak.63@ecommerce.com,zatrudniony
64,Paulina,Wójcik,7600,K,Informatyk,paulina.wojcik.64@ecommerce.com,zatrudniony
65,Małgorzata,Kowalska,6822,K,Analityk,magorzata.kowalska.65@ecommerce.com,zatrudniony
66,Dawid,Wójcik,6876,M,Analityk,dawid.wojcik.66@ecommerce.com,zatrudniony
67,Paweł,Piotrowski,7077,M,Magazynier,pawe.piotrowski.67@ecommerce.com,zatrudniony
68,Zuzanna,Woźniak,5975,K,Magazynier,zuzanna.wozniak.68@ecommerce.com,zatrudniony
69,Marcin,Jankowski,9298,M,Magazynier,marcin.jankowski.69@ecommerce.com,zatrudniony
70,Kamil,Wójcik,8875,M,Analityk,kamil.wojcik.70@ecommerce.com,zatrudniony
71,Dominik,Woźniak,7409,M,Analityk,dominik.wozniak.71@ecommerce.com,zatrudniony
72,Małgorzata,Kwiatkowska,6667,K,Analityk,magorzata.kwiatkowska.72@ecommerce.com,zatrudniony
73,Magdalena,Nowak,6800,K,Magazynier,magdalena.nowak.73@ecommerce.com,zatrudniony
74,Krzysztof,Kowalski,7418,M,Analityk,krzysztof.kowalski.74@ecommerce.com,zatrudniony
75,Barbara,Piotrowska,6703,K,Informatyk,barbara.piotrowska.75@ecommerce.com,zatrudniony
76,Jakub,Nowak,6414,M,Informatyk,jakub.nowak.76@ecommerce.com,zatrudniony
77,Magdalena,Jankowska,9435,K,Informatyk,magdalena.jankowska.77@ecommerce.com,zatrudniony
78,Robert,Krawczyk,7778,M,Analityk,robert.krawczyk.78@ecommerce.com,zatrudniony
79,Aleksandra,Kowalska,6251,K,Analityk,aleksandra.kowalska.79@ecommerce.com,zatrudniony
80,Robert,Szymański,5982,M,Magazynier,robert.szymanski.80@ecommerce.com,zatrudniony
81,Ewa,Szymańska,7637,K,Analityk,ewa.szymanska.81@ecommerce.com,zatrudniony
82,Maciej,Szymański,9268,M,Analityk,maciej.szymanski.82@ecommerce.com,zatrudniony
83,Marcin,Kowalski,5958,M,Informatyk,marcin.kowalski.83@ecommerce.com,zatrudniony
84,Julia,Kwiatkowska,8363,K,Kompletacja,julia.kwiatkowska.84@ecommerce.com,zatrudniony
85,Barbara,Piotrowska,8646,K,Magazynier,barbara.piotrowska.85@ecommerce.com,zatrudniony
86,Paweł,Michalski,7967,M,Magazynier,pawe.michalski.86@ecommerce.com,zatrudniony
87,Maciej,Kwiatkowski,8934,M,Informatyk,maciej.kwiatkowski.87@ecommerce.com,zatrudniony
88,Patrycja,Szymańska,5187,K,Informatyk,patrycja.szymanska.88@ecommerce.com,zatrudniony
89,Michał,Kaczmarek,8351,M,Kompletacja,micha.kaczmarek.89@ecommerce.com,zatrudniony
90,Tomasz,Pawłowski,6184,M,Informatyk,tomasz.pawowski.90@ecommerce.com,zatrudniony
91,Krzysztof,Jankowski,8406,M,Informatyk,krzysztof.jankowski.91@ecommerce.com,zatrudniony
92,Maciej,Zieliński,5864,M,Magazynier,maciej.zielinski.92@ecommerce.com,zatrudniony
93,Mateusz,Jankowski,7676,M,Kompletacja,mateusz.jankowski.93@ecommerce.com,zatrudniony
94,Robert,Nowak,5643,M,Analityk,robert.nowak.94@ecommerce.com,zatrudniony
95,Grzegorz,Kaczmarek,6730,M,Analityk,grzegorz.kaczmarek.95@ecommerce.com,zwolniony
96,Patrycja,Zielińska,8665,K,Informatyk,patrycja.zielinska.96@ecommerce.com,zatrudniony
97,Paweł,Kwiatkowski,9585,M,Kompletacja,pawe.kwiatkowski.97@ecommerce.com,zatrudniony
98,Weronika,Piotrowska,6869,K,Magazynier,weronika.piotrowska.98@ecommerce.com,zatrudniony
99,Jan,Wójcik,4507,M,Informatyk,jan.wojcik.99@ecommerce.com,zatrudniony
100,Paulina,Krawczyk,6930,K,Kompletacja,paulina.krawczyk.100@ecommerce.com,zatrudniony
